"Внутренний идентификатор";"Название товара";"Тип товара";"Код товара";Артикул;Бренд;МРЦ;"МРЦ старая";"Оптовая цена Тариф 2";"Суммарное количество";Акция
1805061;"Встраиваемый светильник Denkirs DK2422-GD";"Встраиваемый светильник";598764;DK2422-GD;Denkirs;2683;2983;1586.00;228;Нет
1810023;"Линейный светильник Denkirs DK9124-BK";"Линейный светильник";613659;DK9124-BK;Denkirs;17973;;9803.00;0;Нет
1810024;"Линейный светильник Denkirs DK9123-BK";"Линейный светильник";613660;DK9123-BK;Denkirs;17973;;9803.00;2;Нет
1810025;"Линейный светильник Denkirs DK9153-BK";"Линейный светильник";613662;DK9153-BK;Denkirs;21405;;11675.00;0;Нет
1810026;"Линейный светильник Denkirs DK9154-BK";"Линейный светильник";613661;DK9154-BK;Denkirs;21405;;11675.00;0;Нет
1810027;"Линейный светильник Denkirs DK9204-BK";"Линейный светильник";613663;DK9204-BK;Denkirs;26014;;14189.00;0;Нет
1810028;"Линейный светильник Denkirs DK9203-BK";"Линейный светильник";613664;DK9203-BK;Denkirs;26014;;14189.00;0;Нет
1810029;"Линейный светильник Denkirs DK9254-BK";"Линейный светильник";613665;DK9254-BK;Denkirs;31312;;17079.00;0;Нет
1810030;"Линейный светильник Denkirs DK9253-BK";"Линейный светильник";613666;DK9253-BK;Denkirs;31312;;17079.00;0;Нет
1810031;"Линейный светильник Denkirs DK9304-BK";"Линейный светильник";613667;DK9304-BK;Denkirs;39844;;21733.00;0;Нет
1810032;"Линейный светильник Denkirs DK9303-BK";"Линейный светильник";613668;DK9303-BK;Denkirs;39844;;21733.00;0;Нет
1811090;"Накладной светильник Denkirs DK2052-WH";"Накладной светильник";609509;DK2052-WH;Denkirs;1290;1580;714.00;218;Нет
1811091;"Накладной светильник Denkirs DK2050-BK";"Накладной светильник";609506;DK2050-BK;Denkirs;780;880;384.00;357;Нет
1811092;"Накладной светильник Denkirs DK2050-WH";"Накладной светильник";609505;DK2050-WH;Denkirs;780;880;414.00;859;Нет
1811093;"Накладной светильник Denkirs DK2051-BK";"Накладной светильник";609508;DK2051-BK;Denkirs;1280;;534.00;377;Нет
1811094;"Накладной светильник Denkirs DK2051-WH";"Накладной светильник";609507;DK2051-WH;Denkirs;1280;;534.00;324;Нет
1811095;"Накладной светильник Denkirs DK2052-BK";"Накладной светильник";609510;DK2052-BK;Denkirs;1390;1580;714.00;155;Нет
1815412;"Шинопровод Denkirs TR2001-BK";Шинопровод;611677;TR2001-BK;Denkirs;2890;;1374.00;766;Нет
1815413;"Шинопровод Denkirs TR2002-BK";Шинопровод;611678;TR2002-BK;Denkirs;5950;;2754.00;971;Нет
1815414;"Коннектор Denkirs TR2101-BK";Коннектор;611679;TR2101-BK;Denkirs;469;;257.00;1613;Нет
1815415;"Соединитель для шинопровода Denkirs TR2102-BK";"Соединитель для шинопровода";611680;TR2102-BK;Denkirs;380;;210.00;2554;Нет
1815416;"Подвод питания Denkirs TR2100-BK";"Подвод питания";611682;TR2100-BK;Denkirs;549;;299.00;2047;Нет
1815418;"Подвесной комплект Denkirs TR2106-BK";"Подвесной комплект";611684;TR2106-BK;Denkirs;609;;335.00;2243;Нет
1815427;"Светильник на шине Denkirs DK8001-BK";"Светильник на шине";611685;DK8001-BK;Denkirs;4990;;2519.00;833;Нет
1815428;"Светильник на шине Denkirs DK8002-BK";"Светильник на шине";611686;DK8002-BK;Denkirs;6890;;3539.00;122;Нет
1815429;"Светильник на шине Denkirs DK8003-BK";"Светильник на шине";611687;DK8003-BK;Denkirs;4690;;2399.00;2058;Нет
1815430;"Светильник на шине Denkirs DK8004-BK";"Светильник на шине";611688;DK8004-BK;Denkirs;6490;;3359.00;4931;Нет
1815431;"Светильник на шине Denkirs DK8006-BK";"Светильник на шине";613542;DK8006-BK;Denkirs;5790;;2879.00;950;Нет
1816285;"Светодиодный модуль Denkirs DK3070-BK";"Светодиодный модуль";613670;DK3070-BK;Denkirs;1299;4888;2933.00;2;Нет
1816356;"Пульт Denkirs DK7300-BK";Пульт;621077;DK7300-BK;Denkirs;2190;;1079.00;1263;Нет
1816357;"Светильник на шине Denkirs DK8005-BK";"Светильник на шине";611689;DK8005-BK;Denkirs;8590;;4379.00;3737;Нет
1816358;"Шинопровод Denkirs TR2003-BK";Шинопровод;613541;TR2003-BK;Denkirs;8390;;4134.00;1083;Нет
1816391;"Настенная панель управления Denkirs DK7200-WH";"Настенная панель управления";621076;DK7200-WH;Denkirs;6390;;3479.00;306;Нет
1816680;"Встраиваемый светильник Denkirs DK4604-WW";"Встраиваемый светильник";600658;DK4604-WW;Denkirs;793;1183;650.00;158;Нет
1816681;"Встраиваемый светильник Denkirs DK4605-DW";"Встраиваемый светильник";600659;DK4605-DW;Denkirs;1183;;650.00;5;Нет
1817124;"WI-FI конвертер Denkirs DK7400-WF";"WI-FI конвертер";621078;DK7400-WF;Denkirs;7990;;4199.00;821;Нет
1817547;"Светодиодный модуль Denkirs DK3060-BK";"Светодиодный модуль";613669;DK3060-BK;Denkirs;799;2166;1300.00;17;Нет
1817646;"Линейный светильник Denkirs DK9124-WH";"Линейный светильник";623319;DK9124-WH;Denkirs;17973;;9803.00;3;Нет
1817647;"Линейный светильник Denkirs DK9123-WH";"Линейный светильник";623320;DK9123-WH;Denkirs;17973;;9803.00;6;Нет
1817648;"Линейный светильник Denkirs DK9154-WH";"Линейный светильник";623321;DK9154-WH;Denkirs;21405;;11675.00;0;Нет
1817649;"Линейный светильник Denkirs DK9153-WH";"Линейный светильник";623322;DK9153-WH;Denkirs;21405;;11675.00;0;Нет
1817650;"Линейный светильник Denkirs DK9204-WH";"Линейный светильник";623323;DK9204-WH;Denkirs;26014;;14189.00;0;Нет
1817651;"Линейный светильник Denkirs DK9203-WH";"Линейный светильник";623324;DK9203-WH;Denkirs;26014;;14189.00;0;Нет
1817652;"Линейный светильник Denkirs DK9254-WH";"Линейный светильник";623325;DK9254-WH;Denkirs;31312;;17079.00;0;Нет
1817653;"Линейный светильник Denkirs DK9253-WH";"Линейный светильник";623326;DK9253-WH;Denkirs;31312;;17079.00;0;Нет
